project_name,url,confidence_note
Noya - Phase 3 - Luma,https://royallp.com/wp-content/uploads/2022/09/NOYA.jpg,GENERIC - same caveat as Noya Phase 2 above
Reem Hills - Phase 1C,https://royallp.com/wp-content/uploads/2023/03/reem-hills-phase-2-.jpg,GENERIC/MISMATCH - same caveat as 1A above
Reem Hills - Phase 2A,https://royallp.com/wp-content/uploads/2023/03/reem-hills-phase-2-.jpg,GENERIC/MISMATCH - same caveat as 1A above
Opula Residences,https://royallp.com/wp-content/uploads/2025/05/St.-Regis-The-Residences-Al-Maryah-Island-Abu-Dhabi-2.jpg,CAUTION - listing titled "Opula Residences Yas Bay" matches but the image filename oddly references St Regis - may be a site bug; worth a manual look
Mamsha Al Saadiyat - Turquoise,https://royallp.com/wp-content/uploads/2022/09/MAMSHA-AL-SAADIYAT.jpg,GENERIC - master-community image not phase-specific
Reflection Tower A,https://royallp.com/wp-content/uploads/2022/09/Reflection.jpg,GENERIC - covers the whole twin-tower complex not Tower A specifically
Reem Hills - Phase 2B,https://royallp.com/wp-content/uploads/2023/03/reem-hills-phase-2-.jpg,GENERIC/MISMATCH - same caveat as 1A above
Mamsha Al Saadiyat - Lilac,https://royallp.com/wp-content/uploads/2022/09/MAMSHA-AL-SAADIYAT.jpg,GENERIC - same caveat as Turquoise above
Reflection Tower B,https://royallp.com/wp-content/uploads/2022/09/Reflection.jpg,GENERIC - same caveat as Tower A above
"Marina Square, Paragon Bay Mall",No results,
Yas Acres - The Redwoods,https://royallp.com/wp-content/uploads/2022/09/Yas-Acres-.jpg,GENERIC - same caveat as The Cedars above
Al Reef Downtown,No results,
Mangrove Place,No results,closest hit "Mangrove Village" is a different name/project
"Park View Tower, Al Reem Island",No results,
Al Reef Townhouses - Arabian Village,No results,
Vista 1,No results,
Addax Tower,No results,
"Fairmont Residences, Rixos Marina",No results,
"Park View Residence, Al Saadiyat Island",No results,
Al Reef Townhouses - Contemporary Village,No results,
Al Reef Townhouses - Desert Village,No results,
Al Reef Townhouses - Mediterranean Village,No results,
Azure,No results,
Reem Nine,https://royallp.com/wp-content/uploads/2024/01/REEM-NINE-REEM-ISLAND-Thumbnail.jpg,exact match
Al Ghadeer - Phase 1 (Sabil),https://royallp.com/wp-content/uploads/2026/05/al-ghadeer-gardens-.jpg,GENERIC - same caveat as Phase 1 above
Reem Five,https://royallp.com/wp-content/uploads/2024/01/REEM-FIVE-REEM-ISLAND-Thumbnail.jpg,exact match
Marina Bay Towers (City Of Lights),No results,
Canal By M,https://royallp.com/wp-content/uploads/2020/02/Canal-by-M-on-Reem-Island-1.jpg,exact match
The Wave,No results,top result was "Radiant Wave" - a different, separate project - excluded as a likely mismatch
One Reem Island,No results,closest hit "ONE Residence" is a differently-named newer tower - not confident it's the same project
Al Ghadeer - Phase 1 (Waha),https://royallp.com/wp-content/uploads/2026/05/al-ghadeer-gardens-.jpg,GENERIC - same caveat as Phase 1 above
Shams Meera Towers,No results,
Bloom Soho Square,https://royallp.com/wp-content/uploads/2022/09/Soho-Square.jpg,exact match
Sky Gardens Tower,No results,
Sigma Towers (City Of Lights),No results,
Oceanscape,No results,
Ohana Villas,No results,closest hit "Ohana by the Sea" is in Al Jurf - different district from this project's listed Ghadeer Al Tayr location
